ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,obsdate,obsjd,exptime,filefracday,seeing,airmass,maglimit,crval1,crval2
165.78046259,38.10548846,0,713,3,1,8,1,zg,2019-03-30 06:29:06.419+00,2458572.7702083,30.0,20190330270185,1.96771,1.008,20.5031,165.7804163526,38.10545582234
165.77620796,38.10485402,0,713,3,1,8,1,zg,2019-04-02 06:39:53.541+00,2458575.7776968,30.0,20190402277442,2.18793,1.012,21.2325,165.7761682098,38.10482237754
165.78052426,38.1167597,0,713,3,1,8,1,zg,2019-04-07 05:42:09.116+00,2458580.7376042,30.0,20190407237593,2.02592,1.008,21.1531,165.7804884304,38.11673232943
165.77627047,38.10745715,0,713,3,1,8,1,zg,2019-04-11 05:47:22.104+00,2458584.7412269,30.0,20190411241192,2.5767,1.008,20.6564,165.7762371532,38.10743396223
165.77889506,38.10798568,0,713,3,1,8,1,zg,2019-04-14 05:16:29.184+00,2458587.7197801,30.0,20190414219769,1.79481,1.008,20.3744,165.778851973,38.10795328232
165.78747793,38.11564111,0,713,3,1,8,1,zg,2019-04-18 05:15:28.615+00,2458591.7190741,30.0,20190418219051,1.92997,1.008,19.7738,165.7874443169,38.11560443961
165.7791889,38.1124867,0,713,3,1,8,1,zg,2019-04-21 04:26:22.437+00,2458594.6849769,30.0,20190421184907,2.09622,1.014,20.5028,165.779150069,38.11245073417
165.77727146,38.12136599,0,713,3,1,8,1,zg,2019-04-24 06:11:22.623+00,2458597.7578935,30.0,20190424257836,2.06447,1.054,21.1361,165.7772384861,38.12132968726
165.78538283,38.10953447,0,713,3,1,8,1,zg,2019-04-27 04:49:02.286+00,2458600.7007176,30.0,20190427200718,2.03293,1.009,21.2092,165.7853318381,38.10949457466
165.77958795,38.08035443,0,713,3,1,8,1,zg,2019-05-02 05:40:44.885+00,2458605.7366204,30.0,20190502236609,2.32206,1.055,21.096,165.7795557594,38.08032231194
165.77935614,38.08033013,0,713,3,1,8,1,zg,2019-05-02 05:42:05.26+00,2458605.7375579,30.0,20190502237546,3.7168,1.056,20.5745,165.7793224847,38.08030425051
165.78534981,38.09081053,0,713,3,1,8,1,zg,2019-05-05 04:39:26.238+00,2458608.6940509,30.0,20190505194028,2.00271,1.016,21.1911,165.7853047652,38.09077525737
165.78507248,38.09015472,0,713,3,1,8,1,zg,2019-05-05 04:42:57.893+00,2458608.6964931,30.0,20190505196470,1.92618,1.018,21.2586,165.7850371878,38.09011832828
165.78320541,38.09243554,0,713,3,1,8,1,zg,2019-05-06 04:38:02.935+00,2458609.6930787,30.0,20190506193021,2.68298,1.017,21.0465,165.7831660932,38.09239972148
165.78570552,38.09186141,0,713,3,1,8,1,zg,2019-05-09 04:27:27.634+00,2458612.6857292,30.0,20190509185694,1.76869,1.018,21.2935,165.7856703299,38.0918306161
165.78565837,38.09188156,0,713,3,1,8,1,zg,2019-05-09 04:28:48.575+00,2458612.6866667,30.0,20190509186644,2.10914,1.018,21.1287,165.7856135372,38.09184496238
165.78461884,38.08873245,0,713,3,1,8,1,zg,2019-05-14 04:28:18.743+00,2458617.6863194,30.0,20190514186308,1.85436,1.031,20.1792,165.7845771957,38.08870441918
165.77978845,38.08724481,0,713,3,1,8,1,zg,2019-05-16 05:27:46.447+00,2458619.7276157,30.0,20190516227616,2.22125,1.117,19.358,165.7797471966,38.08722300617
165.78114192,38.08660899,0,713,3,1,8,1,zg,2019-05-16 05:29:11.938+00,2458619.7285995,30.0,20190516228553,2.37287,1.12,19.3436,165.7810929782,38.08658802751
165.78524777,38.09670596,0,713,3,1,8,1,zg,2019-05-19 03:51:15.966+00,2458622.6605903,30.0,20190519160579,1.99732,1.019,19.3856,165.7852126699,38.09667918675
165.78455198,38.09682008,67108864,713,3,1,8,1,zg,2019-05-19 03:52:36.883+00,2458622.6615278,30.0,20190519161516,2.15315,1.02,18.7119,165.7845167633,38.09677785956
165.78799248,38.09295997,0,713,3,1,8,1,zg,2019-05-29 04:39:34.442+00,2458632.6941435,30.0,20190529194132,1.95479,1.122,21.0513,165.7879498838,38.09291782708
165.78144163,38.08789395,0,713,3,1,8,1,zg,2019-05-31 05:15:26.564+00,2458634.7190509,30.0,20190531219016,2.29135,1.226,20.8912,165.7813918606,38.08786163467
165.79198154,38.08523767,0,713,3,1,8,1,zg,2019-06-01 04:47:06.286+00,2458635.699375,30.0,20190601199375,2.01221,1.163,21.2049,165.7919435787,38.08521222304
165.77881073,38.08205651,0,713,3,1,8,1,zg,2019-06-02 06:14:03.206+00,2458636.7597569,30.0,20190602259722,2.78963,1.491,20.7177,165.7787735115,38.08203140079
165.79131661,38.0721474,0,713,3,1,8,1,zg,2019-06-05 05:19:47.658+00,2458639.7220718,30.0,20190605222072,1.94882,1.303,21.0118,165.7912597467,38.07212119929
165.79775878,38.07806565,0,713,3,1,8,1,zg,2019-06-08 04:52:22.908+00,2458642.7030324,30.0,20190608203032,2.48204,1.251,20.5906,165.7977195352,38.07803851798
